Page,Title,Price,Location,Address,Description,Bedrooms,Bathrooms,Parking,Floor_Size_m2,URL,Region
1,4 Bedroom House,9500000,Matola Central,"Matola Central, Matola","T4 house for sale located in Matola-Rio, close to the family clinic in a good, calm and",4.0,6.0,8.0,,https://www.property24.co.mz/4-bedroom-house-for-sale-in-matola-central-116962914,South
1,4 Bedroom House,25000000,Matola Central,"3C9W+J5X N4, Matola Central, Matola","FOR SALE_x000D_
price 25,000,000 MZN_x000D_
_x000D_
T4 +1 HOUSE (Garden park condominium _x000D_
_x000D_
LOCATION: MATOLA",4.0,6.0,4.0,,https://www.property24.co.mz/4-bedroom-house-for-sale-in-matola-central-116747933,South
2,4 Bedroom House,25000000,Matola Central,"3C9W+J5X N4, Matola Central, Matola","VENDE-SE_x000D_
preço 25.000.000 MZN_x000D_
_x000D_
MORADIA T4 +1 (Condomínio Garden park _x000D_
_x000D_
LOCALIZAÇÃO:",4.0,6.0,4.0,,https://www.property24.co.mz/4-bedroom-house-for-sale-in-matola-central-116747929,South
2,4 Bedroom House,5770000,Matola Central,"CS 19A Avenida de Namaacha, Matola Central, Matola",Are you looking for a property where you can put your own finishing touches? Then this,4.0,2.0,4.0,900 m²,https://www.property24.co.mz/4-bedroom-house-for-sale-in-matola-central-116977170,South
2,4 Bedroom Townhouse,10000000,Matola Central,"4CVF+24 Jamo, Matola Central, Matola","For sale _x000D_
Type 4 house in Matola Condomínio jessebel,_x000D_
Price: 10,000,000.00",4.0,5.0,6.0,,https://www.property24.co.mz/4-bedroom-townhouse-for-sale-in-matola-central-116554213,South
2,4 Bedroom House,10000000,Matola Central,"4CRF+V4 Jamo, Matola Central, Matola","For sale _x000D_
Type 4 house in Matola Condomínio jessebel,_x000D_
Price: 10,000,000.00",4.0,5.0,6.0,,https://www.property24.co.mz/4-bedroom-house-for-sale-in-matola-central-116554209,South
2,4 Bedroom Townhouse,16600000,Matola Central,"Q166 Av. das Indústrias, Matola Central, Matola","For sale _x000D_
Thursday with 7,000 m² in a good location._x000D_
_x000D_
Discretion:_x000D_
- Total area",4.0,6.0,20.0,7 m²,https://www.property24.co.mz/4-bedroom-townhouse-for-sale-in-matola-central-115824521,South
2,3 Bedroom House,11000000,Matola Central,"3C9W+8M9 Matola, Matola Central, Matola","Villa Type (3) at EN4 Condominium Dreams Village Matola_x000D_
Contact us; _x000D_
_x000D_
At the price of:",3.0,3.0,3.0,54 m²,https://www.property24.co.mz/3-bedroom-house-for-sale-in-matola-central-114961137,South
3,3 Bedroom House,15500000,Matola Central,"2FG9+WGV Maputo, Matola Central, Matola","For sale _x000D_
15,500,000 mzn _x000D_
_x000D_
Luxuosa_moradia_tp3 +1_x000D_
Location_Cidade_da_Matola, near the",3.0,4.0,4.0,8 m²,https://www.property24.co.mz/3-bedroom-house-for-sale-in-matola-central-114936191,South
3,3 Bedroom House,7700000,Matola Central,"3CQP+Q5Q Matola, Matola Central, Matola","?? Mzn 7.700.000,00_x000D_
_x000D_
Trata-se de uma espaçosa moradia tp3, construída em um amplo terreno",3.0,2.0,2.0,348 m²,https://www.property24.co.mz/3-bedroom-house-for-sale-in-matola-central-114645516,South
3,3 Bedroom House,3000000,Matola Central,"3FQ8+XJ5 Maputo, Matola Central, Matola",Greetings ! We have available for sale and income beautiful villas type-3 in a condominium,3.0,2.0,2.0,4 m²,https://www.property24.co.mz/3-bedroom-house-for-sale-in-matola-central-114966476,South
3,3 Bedroom House,10000000,Matola Central,"Av. Joaqim Chissano Maputo, Matola Central, Matola","A luxurious TP3 dwelling is sold in the promotion, 100 m from Estrda._x000D_
_x000D_
_x000D_
It is a super",3.0,3.0,4.0,3 m²,https://www.property24.co.mz/3-bedroom-house-for-sale-in-matola-central-114936433,South
3,4 Bedroom Townhouse,28500000,Matola Central,"3F43+6PR Matola, Matola Central, Matola",Elite Residence Condominium for sale in Matola N4 after Shoprite next to Kings,4.0,6.0,4.0,6 m²,https://www.property24.co.mz/4-bedroom-townhouse-for-sale-in-matola-central-115049675,South
3,3 Bedroom House,10500000,Matola Central,"Q 35A Rua de Mozal, Matola Central, Matola",Very nice house on river in Matola Rio with beautiful views of the River and  Matola Cidade,3.0,2.0,2.0,600 m²,https://www.property24.co.mz/3-bedroom-house-for-sale-in-matola-central-115935544,South
3,4 Bedroom House,11000000,Matola Central,"2CRC+V4 Matola, Matola Central, Matola","Sale of T4 mansion at Matola-Rio Djuba, wonderful view, all documentation up to date.",4.0,4.0,5.0,82 m²,https://www.property24.co.mz/4-bedroom-house-for-sale-in-matola-central-115727267,South
3,4 Bedroom House,12500000,Matola Central,"3C7X+JC Matola, Matola Central, Matola","For sale_x000D_
12,500,000 mzn _x000D_
_x000D_
Dwelling_tp4 (cond. Monomutapa)_x000D_
Location: Matola N4-Witbank,",4.0,4.0,4.0,3 m²,https://www.property24.co.mz/4-bedroom-house-for-sale-in-matola-central-114936068,South
3,4 Bedroom House,16600000,Matola Central,"4C7H+Q5 Matola, Matola Central, Matola","For sale _x000D_
Thursday with 7,000 m² in a good location._x000D_
_x000D_
Discretion:_x000D_
- Total area",4.0,6.0,20.0,7 m²,https://www.property24.co.mz/4-bedroom-house-for-sale-in-matola-central-115824470,South
3,5 Bedroom House,17500000,Matola Central,"X9HX+H7V Belo Horizonte, Matola Central, Matola","Type 5 house for sale in Belo Horizonte_x000D_
_x000D_
""LUXURIOUS"" VILLA BELO-HORIZONTE / land with",5.0,6.0,6.0,52 m²,https://www.property24.co.mz/5-bedroom-house-for-sale-in-matola-central-115084644,South
3,3 Bedroom House,11000000,Matola Central,"4CQG+WF Jamo, Matola Central, Matola","For sale _x000D_
Village floor floor 1 floor in Matola Tchumene 1 inside Camejo condominium.",3.0,3.0,400.0,8 m²,https://www.property24.co.mz/3-bedroom-house-for-sale-in-matola-central-115822892,South
4,5 Bedroom House,35000000,Matola Central,"Rua Rio Inharrime, Matola Central, Matola",This beautifull house consists of 3 bedrooms 1 onsuite and another 2 rooms sharing a,5.0,1.0,4.0,2 500 m²,https://www.property24.co.mz/5-bedroom-house-for-sale-in-matola-central-111103861,South
4,2 Bedroom House,17000000,Matola Central,"Malhapsene C, Matola Central, Matola","If you are looking for something different this is it!!!
Well planned and build with so",2.0,2.0,12.0,7 500 m²,https://www.property24.co.mz/2-bedroom-house-for-sale-in-matola-central-115109234,South
4,3 Bedroom House,12000000,Matola Central,"567 Matola, Matola Central, Matola","House T3+1 with pool for sale - near N4 (Garden Park)_x000D_
Price: 12.000.000  | For sale_x000D_
_x000D_
We",3.0,4.0,6.0,,https://www.property24.co.mz/3-bedroom-house-for-sale-in-matola-central-116187536,South
4,3 Bedroom House,7500000,Matola Central,"24 Foral da Matola, Matola Central, Matola","Property situated in quiet area near Boraco de Velha in newly developed area.
consisting of",3.0,3.0,11.0,36 003 m²,https://www.property24.co.mz/3-bedroom-house-for-sale-in-matola-central-111879703,South
4,4 Bedroom House,21000000,Matola Central,"4C8F+JR4 Matola, Matola Central, Matola","For sale/ property / farm_x000D_
_x000D_
we have a beautiful property available located in",4.0,6.0,10.0,7 m²,https://www.property24.co.mz/4-bedroom-house-for-sale-in-matola-central-115085176,South
4,5 Bedroom House,23000000,Matola Central,"3C9W+J5X N4, Matola Central, Matola","5 bedroom villa in the garden park village condominium._x000D_
Price:",5.0,6.0,4.0,8 m²,https://www.property24.co.mz/5-bedroom-house-for-sale-in-matola-central-117017372,South
4,5 Bedroom House,13000000,Matola Central,"Av. Joaquim Chissano, BIC, Matola Central, Matola","Nestled within a secure and tranquil neighborhood, this property offers a perfect blend of",5.0,3.0,4.0,494 m²,https://www.property24.co.mz/5-bedroom-house-for-sale-in-matola-central-113257825,South
4,6 Bedroom House,28000000,Matola Central,"XCJ2+GCM Belo Horizonte, Matola Central, Matola","For sale incredible housing T6 in Belo Horizonte for only 28,000,000.00mzn_x000D_
_x000D_
Ground",6.0,8.0,5.0,,https://www.property24.co.mz/6-bedroom-house-for-sale-in-matola-central-116189744,South
4,5 Bedroom House,23000000,Matola Central,"3C9W+J5X N4, Matola Central, Matola","5 bedroom villa in the garden park village condominium._x000D_
Price:",5.0,6.0,4.0,8 m²,https://www.property24.co.mz/5-bedroom-house-for-sale-in-matola-central-115060642,South
4,4 Bedroom House,76800000,Matola Central,"267 Cidade Da Matola, Matola ''A'', Matola Central, Matola","This is not just a home – it’s an architectural statement. Nestled on an expansive 2,704",4.0,4.0,4.0,2 704 m²,https://www.property24.co.mz/4-bedroom-house-for-sale-in-matola-central-116026310,South
4,2 Bedroom House,7800000,Matola Central,"687 Av. Patrice Lumumba, Matola Central, Matola","For sale a tp2 housing in the promotion, in a safe condominium._x000D_
_x000D_
Mzn 7,800,000.00 MZN",2.0,3.0,2.0,4 m²,https://www.property24.co.mz/2-bedroom-house-for-sale-in-matola-central-115812393,South
4,4 Bedroom House,10800000,Matola Central,"3CFV+PFV Matola, Matola Central, Matola","Type 4 Duplex for sale in Matola_x000D_
_x000D_
Location; Matola near King village EN-4._x000D_
Near Shoprite",4.0,6.0,2.0,,https://www.property24.co.mz/4-bedroom-house-for-sale-in-matola-central-116528455,South
4,5 Bedroom House,15000000,Matola Central,"3CVM+4QW Matola, Matola Central, Matola","Vende-se Moradia T.5 na Matola em frente ao Novare mall._x000D_
 Mzn 15.000.000,00_x000D_
_x000D_
É uma",5.0,6.0,4.0,2 m²,https://www.property24.co.mz/5-bedroom-house-for-sale-in-matola-central-114805674,South
4,4 Bedroom House,6000000,Matola Central,"3C74+763 Chibungo, Matola Central, Matola",Vende-se Moradia Tp4 na Mozal Próximo a Escola Nelson Mandela a 400 metros da Estrada,4.0,4.0,4.0,8 m²,https://www.property24.co.mz/4-bedroom-house-for-sale-in-matola-central-114992625,South
4,3 Bedroom House,12000000,Matola Central,"3FRV+J5G Matola, Matola Central, Matola","Furnished House for sale in Machava headquarters._x000D_
_x000D_
 Mzn 12,000,000.00_x000D_
This price",3.0,3.0,3.0,8 m²,https://www.property24.co.mz/3-bedroom-house-for-sale-in-matola-central-115084280,South
4,4 Bedroom House,12500000,Matola Central,"2CGC+WQ4 R. da Amizade, Matola Central, Matola","HOUSE Type-4 in Matola Rio enters from Mozal._x000D_
NB: coming from the city you pass the Matola",4.0,6.0,4.0,51 m²,https://www.property24.co.mz/4-bedroom-house-for-sale-in-matola-central-114983462,South
5,4 Bedroom Apartment / Flat,16600000,Matola Central,"4C7H+W4 Jamo, Matola Central, Matola","For sale _x000D_
Thursday with 7,000 m² in a good location._x000D_
_x000D_
Discretion:_x000D_
- Total area",4.0,6.0,20.0,7 m²,https://www.property24.co.mz/4-bedroom-apartment-flat-for-sale-in-matola-central-115824498,South
5,4 Bedroom House,51675000,Matola Central,"Rua de Mafurreiras, Matola Central, Matola","If you are looking for a perfect home for your family and for your moments of relaxation,",4.0,5.0,4.0,2 500 m²,https://www.property24.co.mz/4-bedroom-house-for-sale-in-matola-central-115347914,South
5,4 Bedroom House,9000000,Matola Central,"1114 Matola-Rio / Boane, Matola Central, Matola","Vende-se Moradia Tipo 4 na Matola próximo a clínica da família._x000D_
_x000D_
Valor: 8.900.000.00 mzn",4.0,4.0,4.0,,https://www.property24.co.mz/4-bedroom-house-for-sale-in-matola-central-115339530,South
5,2 Bedroom Townhouse,5500000,Matola Central,"Avenida da Namaacha Matola, Matola Central, Matola","For sale _x000D_
Condominium of 4 houses, _x000D_
Dwellings_t2 (new condominium)_x000D_
Location: Matola",2.0,3.0,4.0,,https://www.property24.co.mz/2-bedroom-townhouse-for-sale-in-matola-central-115729419,South
5,4 Bedroom Apartment / Flat,16600000,Matola Central,"4C7H+W4 Jamo, Matola Central, Matola","For sale _x000D_
Thursday with 7,000 m² in a good location._x000D_
_x000D_
Discretion:_x000D_
- Total area",4.0,6.0,20.0,7 m²,https://www.property24.co.mz/4-bedroom-apartment-flat-for-sale-in-matola-central-117016832,South
5,2 Bedroom House,5500000,Matola Central,"3F7J+97R Matola, Matola Central, Matola","For sale _x000D_
Condominium of 4 houses, _x000D_
Dwellings_t2 (new condominium)_x000D_
Location: Matola",2.0,3.0,3.0,,https://www.property24.co.mz/2-bedroom-house-for-sale-in-matola-central-115729413,South
5,3 Bedroom House,7000000,Matola Central,"4CQJ+PP6 Matola, Matola Central, Matola","For sale _x000D_
House Type 3 at Matola Tchumene 2_x000D_
Price: 7,000,000 mzn_x000D_
_x000D_
Contact: 84 8785552",3.0,3.0,5.0,,https://www.property24.co.mz/3-bedroom-house-for-sale-in-matola-central-115508119,South
5,4 Bedroom House,15000000,Matola Central,"3CJV+5C Matola, Matola Central, Matola","For sale _x000D_
T4 house in Matola _x000D_
_x000D_
2 suites_x000D_
Common room_x000D_
Kitchen_x000D_
3 balconies_x000D_
cinema",4.0,5.0,4.0,,https://www.property24.co.mz/4-bedroom-house-for-sale-in-matola-central-115091519,South
5,2 Bedroom House,7200000,Matola Central,"Matola Central, Matola","Moradia T2 num condomínio na Matola _x000D_
Localizada no Fomento _x000D_
Com 2 WC s _x000D_
Casa T2 inserida",2.0,2.0,4.0,,https://www.property24.co.mz/2-bedroom-house-for-sale-in-matola-central-116655662,South
5,4 Bedroom House,15000000,Matola Central,"2C8J+Q93 Belo Horizonte, Matola Central, Matola","For sale_x000D_
_x000D_
Housing Type 4 in Matola Rio before police control. NB: Independent Condominium",4.0,5.0,10.0,,https://www.property24.co.mz/4-bedroom-house-for-sale-in-matola-central-116116264,South
5,3 Bedroom House,15500000,Matola Central,"2FH9+4Q8 Matola, Matola Central, Matola","New Type 3 house for sale in the city of Matola._x000D_
_x000D_
This is a home for cozy accommodation,",3.0,3.0,3.0,,https://www.property24.co.mz/3-bedroom-house-for-sale-in-matola-central-115104416,South
5,4 Bedroom House,19500000,Matola Central,"3C8X+M7H Matola, Matola Central, Matola","Type 4 Duplex For sale in Eden Condominium with the following characteristics:_x000D_
_x000D_
4",4.0,5.0,5.0,,https://www.property24.co.mz/4-bedroom-house-for-sale-in-matola-central-115730196,South
6,4 Bedroom House,11000000,Matola Central,"3C7W+6R7 Matola, Matola Central, Matola","For sale_x000D_
 11,00,000 mzn _x000D_
_x000D_
house_tp4 (cond. MONOMUTAPA)_x000D_
LOCATION:MATOLA N4-WITBANK,",4.0,4.0,4.0,,https://www.property24.co.mz/4-bedroom-house-for-sale-in-matola-central-115328451,South
6,2 Bedroom Apartment / Flat,4250000,Matola Central,"1 Av. Namaacha, Matola Central, Matola","Discover modern living in the heart of Matola at Riverview Apartments, conveniently",2.0,2.0,4.0,10 000 m²,https://www.property24.co.mz/2-bedroom-apartment-flat-for-sale-in-matola-central-115207457,South
6,2 Bedroom Apartment / Flat,3500000,Matola Central,"4CCQ+FGQ Jamo, Matola Central, Matola","BEAUTIFUL 2 bedroom apartments for sale (ground floor and 1st floor) _x000D_
3,500,000 MZN",2.0,2.0,2.0,3 m²,https://www.property24.co.mz/2-bedroom-apartment-flat-for-sale-in-matola-central-115048838,South
6,4 Bedroom House,11000000,Matola Central,"1114 Matola-Rio / Boane, Matola Central, Matola","Type 4 house for sale in Matola_x000D_
_x000D_
Value: 11.000,000.00 mzn Negotiable _x000D_
_x000D_
Contacts:_x000D_
- 84",4.0,4.0,4.0,,https://www.property24.co.mz/4-bedroom-house-for-sale-in-matola-central-115258806,South
6,3 Bedroom House,9000000,Matola Central,"4C7F+GGC Matola, Matola Central, Matola","We have available for sale in the Malhampsene vilage condominium_x000D_
_x000D_
 Type3 _x000D_
 Suite room",3.0,3.0,4.0,,https://www.property24.co.mz/3-bedroom-house-for-sale-in-matola-central-117052122,South
6,4 Bedroom House,11000000,Matola Central,"4CRP+MG Jamo, Matola Central, Matola","We have available for sale _x000D_
_x000D_
 Tchumene 2 Yellow Contentor- (1 Minuto da N4)_x000D_
_x000D_
Dwelling",4.0,4.0,4.0,,https://www.property24.co.mz/4-bedroom-house-for-sale-in-matola-central-115822161,South
6,3 Bedroom House,7500000,Matola Central,"4CRM+6C Jamo, Matola Central, Matola","For sale _x000D_
Type 3 house in Matola Chumene 2, 300 meters from the N4._x000D_
_x000D_
Price: 7,500,000",3.0,3.0,3.0,,https://www.property24.co.mz/3-bedroom-house-for-sale-in-matola-central-115091496,South
6,3 Bedroom House,6500000,Matola Central,"4CVF+74 Jamo, Matola Central, Matola","For sale T3 villa with unique and modern architecture._x000D_
Selling price _x000D_
7,000,000.00mt with",3.0,3.0,5.0,,https://www.property24.co.mz/3-bedroom-house-for-sale-in-matola-central-115885012,South
6,3 Bedroom House,9000000,Matola Central,"4C7F+GGC Matola, Matola Central, Matola","We have available for sale in the Malhampsene vilage condominium_x000D_
_x000D_
 Type3 _x000D_
 Suite room",3.0,3.0,4.0,,https://www.property24.co.mz/3-bedroom-house-for-sale-in-matola-central-115091562,South
6,3 Bedroom House,8500000,Matola Central,"4C9Q+GWV Maputo, Matola Central, Matola","FOR SALE _x000D_
8,500,000 MZN_x000D_
_x000D_
HOUSING_TP3+1_x000D_
LOCATION: MATOLA TSALALA (malhampsene) near the",3.0,3.0,10.0,,https://www.property24.co.mz/3-bedroom-house-for-sale-in-matola-central-115258852,South
6,4 Bedroom House,7500000,Matola Central,"N4 Maputo, Matola Central, Matola","DUPLÉX TP4 for sale in Matola, for 7,500,000.00mt. Located 1 minute from EN4, B.",4.0,4.0,5.0,,https://www.property24.co.mz/4-bedroom-house-for-sale-in-matola-central-115727844,South
6,3 Bedroom House,3,Matola Central,"Matola Central, Matola","Vende-se Casa Nova - Tipo 3, com Anexc_x000D_
Localizada no bairro de Tchumene 2, a apenas 2",3.0,3.0,2.0,,https://www.property24.co.mz/3-bedroom-house-for-sale-in-matola-central-116541726,South
6,4 Bedroom House,11000000,Matola Central,"3FFH+8Q6 Matola, Matola Central, Matola","Type 4 house for sale in Matola Fomento._x000D_
_x000D_
price: 11,000,000 mzn_x000D_
_x000D_
cell:_x000D_
- 87 4334552",4.0,4.0,4.0,,https://www.property24.co.mz/4-bedroom-house-for-sale-in-matola-central-115091536,South
7,4 Bedroom House,20000000,Matola Central,"Matola Central, Matola","Vende-se excelente moradia na motala , no CONDOMÍNIO SAPHIRE_x000D_
_x000D_
Descrições do imóvel:_x000D_
- 4",4.0,5.0,2.0,1 m²,https://www.property24.co.mz/4-bedroom-house-for-sale-in-matola-central-115593344,South
7,5 Bedroom House,45000000,Matola Central,"En4, Matola Central, Matola","This property  consists of 5 bedrooms  , one onsuite on ground floor as well as office, 4",5.0,1.0,2.0,800 m²,https://www.property24.co.mz/5-bedroom-house-for-sale-in-matola-central-111571621,South
7,3 Bedroom Apartment / Flat,10800000,Matola Central,"Matola Central, Matola","For sale _x000D_
T3 apartment in the city of Matola Condominium Bela Vista._x000D_
_x000D_
Price:",3.0,3.0,3.0,2 m²,https://www.property24.co.mz/3-bedroom-apartment-flat-for-sale-in-matola-central-114966516,South
7,4 Bedroom House,16600000,Matola Central,"Matola Central, Matola","For sale _x000D_
Thursday with 7,000 m² in a good location._x000D_
_x000D_
Discretion:_x000D_
- Total area",4.0,6.0,6.0,7 m²,https://www.property24.co.mz/4-bedroom-house-for-sale-in-matola-central-115085235,South
7,3 Bedroom House,12500000,Matola Central,"Matola Central, Matola","3 bedroom house Machava neighborhood - Headquarters_x000D_
_x000D_
 Living & Dining Room with Front",3.0,3.0,3.0,5 m²,https://www.property24.co.mz/3-bedroom-house-for-sale-in-matola-central-114961778,South
7,3 Bedroom House,20000000,Matola Central,"24/A Av. União Africana, Cidade da Matola, Matola Central, Matola","Spacious 3-Bedroom Home with Landscaped Garden & Additional Dwelling

Discover this",3.0,1.0,4.0,2 142.16 m²,https://www.property24.co.mz/3-bedroom-house-for-sale-in-matola-central-115817610,South
7,4 Bedroom House,16600000,Matola Central,"Matola Central, Matola","For sale _x000D_
Thursday with 7,000 m² in a good location._x000D_
_x000D_
Discretion:_x000D_
- Total area",4.0,6.0,6.0,7 m²,https://www.property24.co.mz/4-bedroom-house-for-sale-in-matola-central-116815000,South
7,3 Bedroom House,4500000,Matola Central,"2nd, Matola Central, Matola","Houses consists of 3 bedrooms 2 bathrooms , openplan living,dining and kitchen",3.0,1.0,3.0,400 m²,https://www.property24.co.mz/3-bedroom-house-for-sale-in-matola-central-111103855,South
7,6 Bedroom House,42250000,Matola Central,"Godinho, Cidade da Matola, Matola Central, Matola",Beautifull house for sale in Godinho consists in 4 bedrooms (2 on the ground floor and 2 on,6.0,8.0,4.0,2 874 m²,https://www.property24.co.mz/6-bedroom-house-for-sale-in-matola-central-113356860,South
7,6 Bedroom House,16500000,Matola Central,"Matola Central, Matola","For sale _x000D_
Thursday with 7,000 m² in a good location._x000D_
_x000D_
Discretion:_x000D_
- Total area",6.0,6.0,40.0,7 m²,https://www.property24.co.mz/6-bedroom-house-for-sale-in-matola-central-115884058,South
7,4 Bedroom House,16000000,Matola Central,"EN4 Malhapsene, Mussumbuluko, Matola Central, Matola","Step into this stunning double-storey residence, where modern design meets comfortable",4.0,3.0,4.0,580 m²,https://www.property24.co.mz/4-bedroom-house-for-sale-in-matola-central-114990677,South
7,3 Bedroom House,14500000,Matola Central,"Matola Central, Matola","House for sale in matola city new house._x000D_
This is a house for cozy accommodation, offering",3.0,3.0,3.0,8 m²,https://www.property24.co.mz/3-bedroom-house-for-sale-in-matola-central-115043206,South
7,4 Bedroom House,25000000,Matola Central,,"This beautifull property consists of 4 bedrooms, 1 onsuite other bathroom shared , spacious",4.0,2.0,10.0,2 000 m²,https://www.property24.co.mz/4-bedroom-house-for-sale-in-matola-central-112316334,South
8,4 Bedroom House,52000000,Matola Central,"Tchumene, Matola Central, Matola","Property is well located in the police station toll gate, which makes it very secure...",4.0,5.0,2.0,2 500 m²,https://www.property24.co.mz/4-bedroom-house-for-sale-in-matola-central-113356796,South
8,4 Bedroom House,16600000,Matola Central,"Matola Central, Matola","For sale _x000D_
Thursday with 7,000 m² in a good location._x000D_
_x000D_
Discretion:_x000D_
- Total area",4.0,6.0,10.0,7 m²,https://www.property24.co.mz/4-bedroom-house-for-sale-in-matola-central-115085205,South
8,1 Bedroom Apartment / Flat,3500000,Matola Central,"Rua União Africana, Matola, Matola Central, Matola","Discover contemporary living in Riverview Apartments, ideally located in Matola with easy",1.0,1.0,4.0,10 000 m²,https://www.property24.co.mz/1-bedroom-apartment-flat-for-sale-in-matola-central-115207213,South
8,5 Bedroom House,17500000,Matola Central,"Matola Central, Matola","Type 5 house for sale in Belo Horizonte_x000D_
_x000D_
""LUXURIOUS"" VILLA BELO-HORIZONTE / land with",5.0,6.0,6.0,52 m²,https://www.property24.co.mz/5-bedroom-house-for-sale-in-matola-central-115084692,South
8,4 Bedroom House,28500000,Matola Central,"Matola Central, Matola",Elite Residence Condominium for sale in Matola N4 after Shoprite next to Kings,4.0,6.0,4.0,8 m²,https://www.property24.co.mz/4-bedroom-house-for-sale-in-matola-central-115049643,South
8,6 Bedroom House,31500000,Matola Central,,"This Beautifull house has 2 separate areas 
2 Houses each consisting of 3 bedrooms ,2",6.0,2.0,4.0,1 500 m²,https://www.property24.co.mz/6-bedroom-house-for-sale-in-matola-central-112285476,South
8,3 Bedroom House,9000000,Matola Central,"Matola Central, Matola","Vende-se _x000D_
VIVENDA Tipo 3 na Matola Liberdade._x000D_
_x000D_
Preço; 9.000.000 MT_x000D_
Contacto: 84 8785552",3.0,3.0,3.0,8 m²,https://www.property24.co.mz/3-bedroom-house-for-sale-in-matola-central-115038084,South
8,5 Bedroom House,54400000,Matola Central,"Matola Central, Matola","For sale in the Garden Park Premium condominium, the best condominium in Maputo/Mozambique,",5.0,7.0,6.0,,https://www.property24.co.mz/5-bedroom-house-for-sale-in-matola-central-115942085,South
8,3 Bedroom House,15500000,Matola Central,"Matola Central, Matola","New Type 3 Villa for sale in the city of Matola._x000D_
Located in the city of Matola near the",3.0,3.0,5.0,,https://www.property24.co.mz/3-bedroom-house-for-sale-in-matola-central-115983589,South
8,6 Bedroom House,16500000,Matola Central,"Matola Central, Matola","For sale _x000D_
Thursday with 7,000 m² in a good location._x000D_
_x000D_
Discretion:_x000D_
- Total area",6.0,7.0,40.0,,https://www.property24.co.mz/6-bedroom-house-for-sale-in-matola-central-115884061,South
8,12 Bedroom Townhouse,22000000,Matola Central,"Matola Central, Matola","4 houses for sale in Matola rio, all houses at the same price; 22 million",12.0,8.0,20.0,,https://www.property24.co.mz/12-bedroom-townhouse-for-sale-in-matola-central-115091123,South
8,4 Bedroom House,28500000,Matola Central,"Matola Central, Matola",Elite Residence Condominium for sale in Matola N4 after Shoprite next to Kings,4.0,6.0,4.0,8 m²,https://www.property24.co.mz/4-bedroom-house-for-sale-in-matola-central-116940889,South
8,12 Bedroom House,22000000,Matola Central,"Matola Central, Matola","4 houses for sale in Matola rio, all houses at the same price; 22 million",12.0,8.0,4.0,,https://www.property24.co.mz/12-bedroom-house-for-sale-in-matola-central-115091107,South
8,4 Bedroom House,20000000,Matola Central,"Matola Central, Matola","For sale _x000D_
Price: 20,000,000 mzn _x000D_
_x000D_
Magnificent Housing T4 (Sapphire",4.0,5.0,4.0,,https://www.property24.co.mz/4-bedroom-house-for-sale-in-matola-central-115938790,South
8,3 Bedroom House,15500000,Matola Central,"Matola Central, Matola","New Type 3 house for sale in the city of Matola._x000D_
_x000D_
This is a home for cozy accommodation,",3.0,4.0,5.0,,https://www.property24.co.mz/3-bedroom-house-for-sale-in-matola-central-115271678,South
8,4 Bedroom House,15000000,Matola Central,"Matola Central, Matola","4 bedroom house in Monomutapa condominium_x000D_
Selling 4 bedroom house in Matola in MONOMUTAPA",4.0,3.0,4.0,,https://www.property24.co.mz/4-bedroom-house-for-sale-in-matola-central-116140782,South
9,4 Bedroom House,17000000,Matola Central,"Matola Central, Matola","4 bedroom house in Praia do Bilene_x000D_
4 bedroom property for sale in Praia do",4.0,3.0,4.0,,https://www.property24.co.mz/4-bedroom-house-for-sale-in-matola-central-116140747,South
9,4 Bedroom House,12000000,Matola Central,"Matola, Matola Central, Matola","4 bedroom house in a condominium in Matola_x000D_
FOR SALE_x000D_
Price: 12,000,000MT_x000D_
4 bedroom house",4.0,3.0,4.0,,https://www.property24.co.mz/4-bedroom-house-for-sale-in-matola-central-116140723,South
9,3 Bedroom House,10000000,Matola Central,"1 rua 11.137, Matola Central, Matola",Move in and stay in this inviting heart warming family house. Spacious open plan living,3.0,3.0,2.0,300 m²,https://www.property24.co.mz/3-bedroom-house-for-sale-in-matola-central-112047353,South
9,3 Bedroom House,6500000,Matola Central,"Matola Central, Matola","Luxurious housing_x000D_
3 bathrooms_x000D_
A suite room_x000D_
Electric Fencers_x000D_
American Kitchen_x000D_
Madeiraw",3.0,3.0,8.0,,https://www.property24.co.mz/3-bedroom-house-for-sale-in-matola-central-115954260,South
9,3 Bedroom House,11500000,Matola Central,,"Description:

This stunning property offers everything you've been searching for. Located",3.0,1.0,2.0,520 m²,https://www.property24.co.mz/3-bedroom-house-for-sale-in-matola-central-112660557,South
9,5 Bedroom House,95000000,Matola Central,"Matola, Matola Central, Matola","Office housing in the city of Matola _x000D_
Property for rent T5 & T3 annex with kitchen and",5.0,3.0,4.0,,https://www.property24.co.mz/5-bedroom-house-for-sale-in-matola-central-115446505,South
9,3 Bedroom House,10000000,Matola Central,"1 rua 11.137, Matola Central, Matola",Move in and stay in this inviting heart warming family house. Spacious open plan living,3.0,3.0,2.0,300 m²,https://www.property24.co.mz/3-bedroom-house-for-sale-in-matola-central-117074401,South
9,3 Bedroom House,7500000,Matola Central,"Matola Matola, Matola Central, Matola","FOR SALE _x000D_
7,500,000 MZN _x000D_
_x000D_
HOUSING_TP3 _x000D_
LOCATION: TCHUMENE-1 _x000D_
_x000D_
PROPERTY DISCRETION _x000D_
3",3.0,3.0,4.0,,https://www.property24.co.mz/3-bedroom-house-for-sale-in-matola-central-115225532,South
